sample	segments	clonality	ploidy	homozygousLoss	segvariance	grid_ploidy	grid_purity	use
IM_303	68	0.0899040281480457	4.986	0	0.225472457718341	5	1	FALSE
IM_303	68	0.106736781276504	5.983	0	0.324680339114411	6	1	FALSE
IM_306	246	0.118251595781038	1.888	0.898459764753457	0.124326400963432	1.9	0.83	FALSE
IM_306	246	0.164182737269166	5.563	0.0758649957055959	1.08588356433304	5.6	0.62	FALSE
IM_306	246	0.165763293157452	3.676	0.0758649957055959	0.451766518558907	3.7	0.74	TRUE
IM_307	29	0.0222435511660339	1.993	0.00539446386096556	0.0497921404757526	2	1	FALSE
IM_307	29	0.0333359562324965	2.99	0.00539446386096556	0.112032316070443	3	1	FALSE
IM_307	29	0.0443911365736871	3.987	0.00539446386096556	0.19916856190301	4	1	FALSE
IM_307	29	0.0555059364600964	4.983	0.00539446386096556	0.311200877973454	5	1	FALSE
IM_307	29	0.0666211166895531	5.98	0.00539446386096556	0.448129264281773	6	1	FALSE
IM_308	34	0.0173146072456981	1.993	0.00539452207216255	0.047968793353087	2	1	FALSE
IM_308	34	0.0259636278237373	2.99	0.00539452207216255	0.107929785044446	3	1	FALSE
IM_308	34	0.0346069266717545	3.987	0.00539452207216255	0.191875173412348	4	1	FALSE
IM_308	34	0.043107387925861	4.984	0.00539452207216255	0.299804958456794	5	1	FALSE
IM_308	34	0.0514682898220347	5.98	0.00539452207216255	0.431719140177783	6	1	FALSE
IM_308	34	0.0597150195573236	6.977	0.00539452207216255	0.587617718575316	7	1	FALSE
IM_308	34	0.0680467904277972	7.974	0.00539452207216255	0.767500693649392	8	1	FALSE
IM_309	38	0.0215645161334583	1.994	0.0053948131062472	0.0374470153138841	2	1	FALSE
IM_309	38	0.0323233755595312	2.992	0.0053948131062472	0.0842557844562392	3	1	FALSE
IM_309	38	0.0431290322669174	3.989	0.0053948131062472	0.149788061255536	4	1	FALSE
IM_309	38	0.0537413295874707	4.986	0.0053948131062472	0.234043845711775	5	1	FALSE
IM_309	38	0.06420677724159	5.983	0.0053948131062472	0.337023137824957	6	1	FALSE
IM_309	38	0.0745253482842019	6.981	0.0053948131062472	0.45872593759508	7	1	FALSE
IM_309	38	0.0847246360122727	7.978	0.0053948131062472	0.599152245022145	8	1	FALSE
IM_31	444	0.142915247034951	3.868	0.0612000798417667	0.611938318123131	3.9	0.77	FALSE
IM_311	166	0.075593788443745	3.489	0.056333650879271	0.333952612023403	3.5	0.67	FALSE
IM_311	166	0.167666317877261	1.794	0.0953338012737969	0.0927850754938235	1.8	0.78	TRUE
IM_312	155	0.0708779268830192	3.483	0.0550689473661109	0.326786873725803	3.5	0.68	FALSE
IM_312	155	0.109462471377615	2.485	0.100419790149143	0.274638983557339	2.5	0.56	FALSE
IM_312	155	0.163425682521865	1.692	0.100419790149143	0.0779546504206788	1.7	0.81	TRUE
IM_318	155	0.225045861229365	2.785	0	0.290352997532981	2.8	0.84	FALSE
IM_318	155	0.23984013572825	1.589	1.26299893775577	0.162238718141561	1.6	0.72	FALSE
IM_319	104	0.0390521912090377	3.676	0	0.384764476330266	3.7	0.79	TRUE
IM_32	452	0.172405942102168	1.987	0.623039113613111	0.186589775244131	2	0.76	FALSE
IM_32	452	0.191247460799721	3.876	0.0612107831958908	0.620404893703789	3.9	0.69	TRUE
IM_320	103	0.235101632348062	2.971	0	0.275284770389213	3	0.83	FALSE
IM_320	103	0.238111612587743	2.476	0	0.178707678380644	2.5	0.89	FALSE
IM_321	190	0.0921130340908871	1.601	0.0598944444613642	0.0757857357729378	1.6	0.88	FALSE
IM_321	190	0.133191487336994	3.101	0.0598944444613642	0.285000298481323	3.1	0.79	TRUE
IM_322	191	0.183643735566232	2.96	0	0.51484005304889	3	0.67	FALSE
IM_322	191	0.202873560150034	1.669	6.17177514151255	0.29829068005767	1.7	0.6	FALSE
